claim_id,section,claim,source_ids,evidence_location,status,notes
C028-science,composite,The described single-cell ATAC workflow transposes nuclei before partitioning.,ATAC,ATAC: Introduction,reported,Verified at schematic scope. Limit: One partition barcode does not guarantee one biological cell. The order is specific to the cited assay generation.
C028-design,composite,"Start with nuclei and a transposition step outside droplets. Then partition with a barcoded bead, connect barcode incorporation to indexed library fragments and end with a sequencing/read-assignment panel. Label empty and multiplet partitions as possible states.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C029-science,composite,Antibody oligonucleotide tags can be measured alongside gene expression in a single-cell workflow.,FEATURE,FEATURE: Feature Barcode technology and application bullets,reported,"Verified at schematic scope. Limit: A tag count is assay evidence, not an exact molecule count or proof of target function."
C029-design,composite,"Place a surface-bound barcoded antibody on a cell, then put the cell and a capture bead in a partition. Split output into RNA-derived library and antibody-tag library while retaining a common cell-barcode label. Use distinct colors and labels for feature identity versus cell identity.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C030-science,composite,Captured CRISPR guide identities can be linked to single-cell gene-expression data.,FEATURE,FEATURE: Feature Barcode technology and application bullets,reported,Verified at schematic scope. Limit: Guide detection does not establish successful editing or prove that an observed expression change is causal.
C030-design,composite,"Show a cell with a guide-RNA label, a partition and two output tracks: guide identity and transcriptome. Join tracks with the shared cell-barcode field. End with an association panel, leaving perturbation efficacy as a separate validation badge.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C031-science,composite,Sample tags add sample identity to single-cell measurements.,FEATURE,FEATURE: Feature Barcode technology and application bullets,reported,Verified at schematic scope. Limit: Do not conflate a sample tag with a unique cell barcode or assume every cell has a clean sample assignment.
C031-design,composite,"Give each input sample a distinct tag label, pool the cell groups and route them into partitions. At output show separate fields for sample tag, cell barcode and feature identity; include ambiguous-tag assignments as unresolved.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C032-science,composite,Annexin V reports accessible phosphatidylserine; membrane damage affects interpretation.,ANNEX,ANNEX: What is Annexin V; How Annexin V staining works; false-positive caveat,reported,Verified at schematic scope. Limit: Do not label every double-positive cell late apoptotic or treat Annexin alone as a definitive death assay.
C032-design,composite,Build a membrane inset with PS labels and a calcium-dependent Annexin probe. Pair it with a membrane-impermeant-dye annotation and an editable two-axis schematic. Label quadrants by measured positivity first; annotate double positivity as compatible with late apoptotic or other dead cells.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C033-science,composite,Intestinal crypts contain multiple epithelial cell types including Paneth and endocrine cells.,GUT,GUT: Structure; Epithelium and Villi; Crypts,reported,"Verified at schematic scope. Limit: This is a composition map, not a validated stem-cell lineage trajectory or a quantitative cell-frequency chart."
C033-design,composite,"Use the crypt as a context frame. Place repeated epithelial instances along its wall, Paneth cells at the base and independently labeled endocrine and goblet cells among them. Keep the lumen unobstructed and cell identities selectable.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C034-science,composite,Villi combine an absorptive epithelium with blood and lymphatic vessels.,GUT,GUT: Structure; Epithelium and Villi; Crypts,reported,Verified at schematic scope. Limit: Nutrient-specific transporters and blood-versus-lymph routing need additional substrate-specific evidence.
C034-design,composite,"Use a villus context and add an enlarged apical brush-border inset from enterocyte presets. Draw separate capillary and lacteal paths inside the villus, with labels rather than an undifferentiated vascular tube. Keep lumen-to-epithelium direction clear.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C035-science,composite,Thin alveolar epithelium and capillary endothelium form the gas-exchange interface.,LUNG,LUNG: Alveoli; Main constituents of alveolus and interalveolar wall,reported,Verified at schematic scope. Limit: Widths and distances are schematic; do not represent cell layers as equal-thickness slabs or claim a measured diffusion rate.
C035-design,composite,"Build an alveolar wall from flattened type I presets, basement-membrane components and endothelial cells. Place airspace on one side and erythrocytes in a capillary lumen on the other. Add independent O2 and CO2 arrows with opposing directions across the barrier.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C036-science,composite,Type II pneumocytes secrete surfactant toward the alveolar airspace.,LUNG,LUNG: Alveoli; Main constituents of alveolus and interalveolar wall,reported,Verified at schematic scope. Limit: The film is a symbolic overlay; molecular surfactant composition and lamellar-body detail are not specified.
C036-design,composite,Place the planned type II cell among type I cell presets. Orient secretion anchors toward the airspace; move separate vesicle instances toward that face and add a surface-film annotation. Keep the surfactant layer distinct from the basement membrane below the cells.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C037-science,composite,"Continuous, fenestrated and sinusoidal capillary architectures differ.",CAP,CAP: Continuous; Fenestrated capillaries; Sinusoids,reported,"Verified at schematic scope. Limit: Do not generalize pore sizes, basement-membrane continuity or permeability to every organ from the generic panels."
C037-design,composite,Create three matched vessel cross-section panels with consistent lumen orientation. Reuse endothelial and basement-membrane components; add fenestrae as intracellular pore overlays and sinusoidal discontinuities as a separately labeled pattern. Use an optional external pericyte only in the appropriate contextual panel.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C038-science,composite,Pericytes associate with the abluminal side of capillary endothelium.,CAP,CAP: Continuous; Fenestrated capillaries; Sinusoids,reported,"Verified at schematic scope. Limit: This establishes location, not a universal pericyte coverage fraction or molecular signaling mechanism."
C038-design,composite,"Use a short endothelial tube or existing vessel context and place pericyte processes along its exterior. Add a cutaway showing lumen, endothelial layer and exterior cell contact. Keep pericyte and endothelium as different selectable cell groups.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C039-science,composite,Porins provide diffusion paths; reduced permeability can contribute to resistance.,PORIN,PORIN: Normal Function; Types; Structure; Resistance Due to Decreased Permeability,reported,Verified at schematic scope. Limit: Permeability effects depend on compound and porin. Reduced entry does not by itself prove clinical antibiotic resistance.
C039-design,composite,Insert porin instances into the outer membrane of the Gram-negative envelope. Route a labeled compatible solute through the lumen into periplasm in one panel; reduce channel availability or show restricted passage in the comparison. Keep the inner membrane separate and do not add an ATP-consumption arrow.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C040-science,composite,LPS combines lipid anchoring with carbohydrate regions at the bacterial surface.,LPS,LPS: Introduction; Lipid Carrier,reported,Verified at schematic scope. Limit: Carbohydrate composition varies; do not call every generic chain a specific bacterial serotype.
C040-design,composite,"Reuse the Gram-negative envelope frame and attach LPS lipid regions into the outer-facing membrane leaflet. Extend carbohydrate chains toward the extracellular side, leaving periplasm and inner membrane distinct. Use variable chain lengths as qualitative variants.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C041-science,composite,Aggrecan and collagen contribute different structural features to cartilage matrix.,AGG,AGG: Abstract; Structure of Aggrecan; Nanomechanics sections,reported,"Verified at schematic scope. Limit: Do not infer stiffness values, disease severity or a specific degradation enzyme from the schematic density."
C041-design,composite,"Place aggrecan brush instances between collagen fibrils around a chondrocyte context. Keep collagen, aggrecan cores and side chains as separate groups. Offer intact and reduced-aggrecan illustrative states with identical layout for comparison.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C042-science,composite,STING signaling involves a localization change and TBK1/IRF3-dependent response.,STING,"STING: Summary: ER localization, trafficking and TBK1/IRF3",reported,Verified at schematic scope. Limit: This source mixes historical human and mouse evidence. A cGAS/cGAMP mechanism or species-specific residues require a newer targeted source.
C042-design,composite,"Place a STING-labeled membrane protein at ER, add a trafficking arrow toward a Golgi/perinuclear state and connect TBK1 and IRF3 labels to a nuclear response annotation. Keep activation input as an explicitly unspecified upstream node.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
B001,brainstorm,Reuse guard cells and a leaf-surface frame in matched open and closed states; add independent water/ion annotations rather than deforming the entire leaf.,,No source verification performed,not-disclosed,"Verify guard-cell geometry, ion transport and the selected environmental response in an authoritative plant source."
B002,brainstorm,Construct a layered root cross-section using plant cells and wall segments; distinguish wall-space and cytoplasmic routes with separate connectors.,,No source verification performed,not-disclosed,"Verify endodermal barrier placement, route definitions and which new topology components are actually needed."
B003,brainstorm,"Connect a source leaf and a sink organ through a clearly labeled vascular path, using editable loading and unloading insets.",,No source verification performed,not-disclosed,Verify transport model and tissue anatomy; sieve elements may need a genuinely distinct building block.
B004,brainstorm,"Use the chloroplast context and a membrane inset with labeled protein nodes, electron arrows and a separate proton path.",,No source verification performed,not-disclosed,"Verify photosystem order, membrane sides and proton stoichiometry before adding quantitative labels."
B005,brainstorm,Place fungal hyphae beside a root cell context and use separate nutrient-exchange arrows across a labeled interface.,,No source verification performed,not-disclosed,Select arbuscular or ectomycorrhizal organization; verify the relevant interface rather than blending the two.
B006,brainstorm,Reuse pollen and floral context with an editable tube path and destination inset.,,No source verification performed,not-disclosed,Verify tissue geometry and fertilization stages; identify whether tube or ovule topology is missing.
B007,brainstorm,Reuse a rod bacterium and spore in successive compartment states; make septum and envelope overlays independently editable.,,No source verification performed,not-disclosed,"Verify species-specific septation, engulfment and coat order."
B008,brainstorm,"Arrange linked yeast instances across bud emergence, growth and separation; preserve mother/bud identity across panels.",,No source verification performed,not-disclosed,Verify nuclear segregation and cell-wall remodeling events for a chosen organism.
B009,brainstorm,Reuse bacterial groups and extracellular matrix in two panels; release a subset into a separate planktonic lane.,,No source verification performed,not-disclosed,Verify dispersal triggers and matrix composition for a specified biofilm model.
B010,brainstorm,"Use the existing conjugation pair and a plasmid inset to distinguish donor DNA, transferred strand and recipient establishment.",,No source verification performed,not-disclosed,"Verify strand processing, transfer direction and replication stages for a selected plasmid system."
B011,brainstorm,Build matched cell-envelope panels separating outward active transport from inward permeability changes.,,No source verification performed,not-disclosed,Verify the chosen pump family; do not substitute an ABC transporter for every efflux mechanism.
B012,brainstorm,Branch the existing phage/host context into replicated-particle production and integrated-genome maintenance states.,,No source verification performed,not-disclosed,"Choose a temperate phage and verify integration, induction and lifecycle boundaries."
B013,brainstorm,"Use a labeled DNA locus and a B-cell context, keeping variable-region identity separate from constant-region replacement.",,No source verification performed,not-disclosed,Verify switch-region topology and distinguish class switching from somatic hypermutation.
B014,brainstorm,"Arrange linked B-cell states and helper-cell contacts inside a lymphoid context, with explicit movement and selection connectors.",,No source verification performed,not-disclosed,Verify light/dark zone roles and whether follicular dendritic-cell morphology is a missing primitive.
B015,brainstorm,"Reuse an endothelial strip and leukocyte instances, with selectin and integrin insets linked to sequential movement states.",,No source verification performed,not-disclosed,"Verify receptor-ligand pairs, affinity states and the selected leukocyte context."
B016,brainstorm,"Place apoptotic-body instances beside a macrophage, then use linked engulfment and post-engulfment annotation panels.",,No source verification performed,not-disclosed,Verify recognition bridges and downstream response; keep this distinct from microbial phagocytosis.
B017,brainstorm,Use an NK/target contact with independent activating and inhibitory receptor lanes and a configurable output annotation.,,No source verification performed,not-disclosed,Verify receptor specificity and licensing context; avoid a deterministic missing-self cartoon.
B018,brainstorm,"Reuse an inflammasome and a membrane inset, separating assembly, protease activation and membrane-pore output.",,No source verification performed,not-disclosed,"Verify inflammasome type, caspase and gasdermin cleavage; assess whether a gasdermin pore needs a new module."
B019,brainstorm,Place folded and unresolved protein presets inside an ER context with distinct forward-transport and degradation lanes.,,No source verification performed,not-disclosed,"Verify ER-associated degradation direction, membrane extraction and chaperone roles."
B020,brainstorm,"Place ER and mitochondrion in close proximity with an explicit gap and exchange connectors, keeping their membranes unfused.",,No source verification performed,not-disclosed,Verify contact-site tether and lipid-transfer mechanism; proximity must not imply membrane fusion.
B021,brainstorm,"Use RNA/protein instances to populate a reversible granule group, with a separate resumed-translation panel.",,No source verification performed,not-disclosed,Verify stress context and distinguish a qualitative condensate diagram from measured phase separation.
B022,brainstorm,Split an internalized receptor lane into surface return and lysosomal delivery while preserving cargo identity.,,No source verification performed,not-disclosed,Verify sorting signals and named receptor behavior; avoid assigning one fate to all receptors.
B023,brainstorm,Use linked mitochondrion states with separate constriction and joining sequences; keep inner/outer membranes distinguishable.,,No source verification performed,not-disclosed,Verify machinery and membrane order; do not equate all fragmentation with apoptosis.
B024,brainstorm,"Repeat myelin segments around an axon and label nodes, with a distinct propagation annotation above the structure.",,No source verification performed,not-disclosed,Verify ion-channel localization and the chosen electrophysiological abstraction.
B025,brainstorm,Place an astrocyte and neuron in a tissue context with labeled metabolite-transfer arrows that can be toggled by hypothesis.,,No source verification performed,not-disclosed,Verify each metabolite route and distinguish supported observations from contested shuttle models.
B026,brainstorm,"Build a cutaway from endothelium, basement membrane and podocyte processes, with a separate filtrate-side label.",,No source verification performed,not-disclosed,"Verify layer order, slit diaphragm and filtration-selectivity claims; do not infer selectivity from icon size alone."
B027,brainstorm,Arrange resorption and formation regions along one bone surface using osteoclast and osteoblast instances.,,No source verification performed,not-disclosed,Verify temporal coupling and matrix deposition; mineralization is a distinct stage.
B028,brainstorm,Overlay separate blood and bile routes on a reusable lobule frame with unambiguous directions and endpoints.,,No source verification performed,not-disclosed,Verify portal/central anatomy and canalicular bile direction; identify missing duct components.
B029,brainstorm,"Place cells above a porous insert, directional cues below and migrated cells in a separately countable lower compartment.",,No source verification performed,not-disclosed,Verify assay configuration and distinguish migration from proliferation or differential survival.
B030,brainstorm,"Use antibody-bead-cell groups passing a magnetic column, retaining both output fractions with explicit labels.",,No source verification performed,not-disclosed,"Verify positive versus negative selection and recovery sequence; purity is measured, not implied."
B031,brainstorm,"Arrange source organoid, separated material and regrowing groups in culture contexts with an independent viability checkpoint.",,No source verification performed,not-disclosed,Choose an organoid system and verify whether fragmentation or dissociation is appropriate.
B032,brainstorm,Build two channels separated by a cell-covered porous membrane; add independent perfusion and sampling connectors.,,No source verification performed,not-disclosed,"Verify channel orientation, flow regime and readout; do not invent a permeability value."
B033,brainstorm,"Overlay capture spots on a tissue frame and show several cell instances intersecting a spot, followed by an explicitly mixed readout.",,No source verification performed,not-disclosed,Verify platform resolution and capture model; do not label a multicell spot as a single cell.
B034,brainstorm,"Create empty, singlet and doublet partition scenes with separate ambient RNA tokens and downstream quality-control annotations.",,No source verification performed,not-disclosed,Verify technical failure modes and limits of computational correction for the chosen assay.
B035,brainstorm,Pair surface-bound probe and intracellular probe panels using the same receptor/ligand group and a time annotation.,,No source verification performed,not-disclosed,Verify controls that distinguish internalization from surface signal; fluorescence location alone may be insufficient.
B036,brainstorm,"Link a sample mixture to a column, editable elution trace and individual fraction tubes with consistent component colors.",,No source verification performed,not-disclosed,Verify separation principle and calibration; elution position is not automatically molecular identity.
